feature,missing_rate,missing_count
292,0.9119336311423102,1429
293,0.9119336311423102,1429
158,0.9119336311423102,1429
157,0.9119336311423102,1429
492,0.8557753669432036,1341
85,0.8557753669432036,1341
358,0.8557753669432036,1341
220,0.8557753669432036,1341
244,0.6496490108487556,1018
517,0.6496490108487556,1018
109,0.6496490108487556,1018
246,0.6496490108487556,1018
383,0.6496490108487556,1018
382,0.6496490108487556,1018
384,0.6496490108487556,1018
245,0.6496490108487556,1018
111,0.6496490108487556,1018
110,0.6496490108487556,1018
516,0.6496490108487556,1018
518,0.6496490108487556,1018
580,0.6056158264199106,949
578,0.6056158264199106,949
579,0.6056158264199106,949
581,0.6056158264199106,949
73,0.5067007019783025,794
345,0.5067007019783025,794
72,0.5067007019783025,794
346,0.5067007019783025,794
519,0.4562858966177409,715
247,0.4562858966177409,715
385,0.4562858966177409,715
112,0.4562858966177409,715
563,0.1742182514358647,273
564,0.1742182514358647,273
565,0.1742182514358647,273
562,0.1742182514358647,273
566,0.1742182514358647,273
568,0.1742182514358647,273
567,0.1742182514358647,273
569,0.1742182514358647,273
556,0.16592214422463306,260
554,0.16592214422463306,260
555,0.16592214422463306,260
553,0.16592214422463306,260
552,0.16592214422463306,260
551,0.16592214422463306,260
550,0.16592214422463306,260
557,0.16592214422463306,260
546,0.16592214422463306,260
548,0.16592214422463306,260
547,0.16592214422463306,260
549,0.16592214422463306,260
363,0.03254626675175495,51
362,0.03254626675175495,51
497,0.03254626675175495,51
90,0.03254626675175495,51
89,0.03254626675175495,51
225,0.03254626675175495,51
224,0.03254626675175495,51
496,0.03254626675175495,51
450,0.015315890236119975,24
41,0.015315890236119975,24
449,0.015315890236119975,24
40,0.015315890236119975,24
391,0.015315890236119975,24
351,0.015315890236119975,24
350,0.015315890236119975,24
349,0.015315890236119975,24
348,0.015315890236119975,24
217,0.015315890236119975,24
211,0.015315890236119975,24
486,0.015315890236119975,24
489,0.015315890236119975,24
487,0.015315890236119975,24
488,0.015315890236119975,24
214,0.015315890236119975,24
75,0.015315890236119975,24
77,0.015315890236119975,24
81,0.015315890236119975,24
355,0.015315890236119975,24
313,0.015315890236119975,24
314,0.015315890236119975,24
82,0.015315890236119975,24
354,0.015315890236119975,24
482,0.015315890236119975,24
484,0.015315890236119975,24
485,0.015315890236119975,24
352,0.015315890236119975,24
353,0.015315890236119975,24
253,0.015315890236119975,24
483,0.015315890236119975,24
76,0.015315890236119975,24
80,0.015315890236119975,24
79,0.015315890236119975,24
78,0.015315890236119975,24
525,0.015315890236119975,24
178,0.015315890236119975,24
210,0.015315890236119975,24
212,0.015315890236119975,24
118,0.015315890236119975,24
216,0.015315890236119975,24
215,0.015315890236119975,24
213,0.015315890236119975,24
411,0.008934269304403318,14
6,0.008934269304403318,14
415,0.008934269304403318,14
412,0.008934269304403318,14
413,0.008934269304403318,14
274,0.008934269304403318,14
276,0.008934269304403318,14
414,0.008934269304403318,14
5,0.008934269304403318,14
4,0.008934269304403318,14
275,0.008934269304403318,14
277,0.008934269304403318,14
273,0.008934269304403318,14
140,0.008934269304403318,14
139,0.008934269304403318,14
142,0.008934269304403318,14
3,0.008934269304403318,14
2,0.008934269304403318,14
141,0.008934269304403318,14
138,0.008934269304403318,14
84,0.007657945118059987,12
357,0.007657945118059987,12
219,0.007657945118059987,12
491,0.007657945118059987,12
428,0.006381620931716656,10
19,0.006381620931716656,10
290,0.006381620931716656,10
155,0.006381620931716656,10
143,0.00574345883854499,9
121,0.00574345883854499,9
395,0.00574345883854499,9
396,0.00574345883854499,9
397,0.00574345883854499,9
398,0.00574345883854499,9
399,0.00574345883854499,9
400,0.00574345883854499,9
401,0.00574345883854499,9
402,0.00574345883854499,9
403,0.00574345883854499,9
404,0.00574345883854499,9
534,0.00574345883854499,9
7,0.00574345883854499,9
416,0.00574345883854499,9
394,0.00574345883854499,9
537,0.00574345883854499,9
536,0.00574345883854499,9
535,0.00574345883854499,9
538,0.00574345883854499,9
262,0.00574345883854499,9
263,0.00574345883854499,9
264,0.00574345883854499,9
278,0.00574345883854499,9
266,0.00574345883854499,9
256,0.00574345883854499,9
257,0.00574345883854499,9
258,0.00574345883854499,9
259,0.00574345883854499,9
260,0.00574345883854499,9
261,0.00574345883854499,9
265,0.00574345883854499,9
131,0.00574345883854499,9
528,0.00574345883854499,9
530,0.00574345883854499,9
529,0.00574345883854499,9
532,0.00574345883854499,9
533,0.00574345883854499,9
122,0.00574345883854499,9
