feature,normal_n,anomaly_n,normal_missing_rate,normal_mean,normal_std,normal_median,normal_p01,normal_p05,normal_p25,normal_p50,normal_p75,normal_p95,normal_p99,anomaly_mean,anomaly_median
0,1170,83,0.0,0.007527423893436662,0.9842045702797194,-0.02654051226281555,-2.2319047279157576,-1.4892120808295914,-0.5982876156991017,-0.02654051226281555,0.5857477484932939,1.5897803741856915,2.7919474790263084,-0.11906898517712831,-0.348133659792372
1,1170,83,0.0,-0.0030199837522478287,1.0056038240410243,0.0572833650871985,-2.879578092303192,-1.6842168336914995,-0.5437001681086748,0.0572833650871985,0.5679413014432095,1.4527665618753627,2.6636502081198423,0.05402150573648754,0.0977502409917328
2,1170,83,0.0,0.0017345762587748894,0.9959175166637911,0.033459155611486754,-2.5553411916221265,-1.468465012416627,-0.6516557586740609,0.033459155611486754,0.5939389201734335,1.5546049903166628,2.241971777173737,-0.017925747764162222,-0.1441076694935351
3,1170,83,0.0,0.011236283698249852,1.0119990586136403,-0.245182243494606,-1.2013739424535121,-1.0894784178518102,-0.7201027236133587,-0.245182243494606,0.4523154328432531,1.7663383223628648,3.725912171760452,-0.1512347274217798,-0.3456667900246585
6,1170,83,0.0,-0.007822124582502069,1.0121738579500095,0.07088762280506565,-2.762072285088807,-1.9808825182008865,-0.5245563288327179,0.07088762280506565,0.5636182702433018,1.4976380994234189,2.568179547896449,0.0812124981944278,0.1207014751956478
7,1170,83,0.0,-0.018650144110732063,1.1043769674852733,0.0462785910708339,-0.6673477757343322,-0.3647067751169002,-0.1345271537833297,0.0462785910708339,0.2409924701445491,0.4774307518769188,0.6582364967310825,0.03203532108695673,0.0184623226317328
8,1170,83,0.0,-0.003391569836446949,1.0145138709573844,-0.0117358699509788,-2.3232252034494087,-1.6124384744499,-0.7235656225651651,-0.0117358699509788,0.7522450633970728,1.6934045536279716,2.094697730054141,0.03328338589454476,0.0214512450614831
9,1170,83,0.0,0.0043024804331804325,1.0105103602496022,-0.0323517416969184,-2.2994332278020195,-1.6269047246629769,-0.658736049889431,-0.0323517416969184,0.6089071279038597,1.716566134106028,2.762214746526175,-0.06365403156812785,-0.0521844902412724
10,1170,83,0.0,-0.00805464570777001,0.9883573940471603,0.0319771280353688,-2.437379746251435,-1.6963245507655655,-0.615326871515543,0.0319771280353688,0.6226420276255757,1.5315647269949813,2.2752091384790516,0.11451488701425011,0.3016871278482487
11,1170,83,0.0,0.00906150754163715,1.0150614368196094,0.1370898591695656,-1.60980394427611,-1.256584835539328,-0.4668358418709517,0.1370898591695656,0.5474496303894151,1.0662063223088336,1.2520296149366923,-0.1181373138373627,-0.1106745310009041
14,1170,83,0.0,0.022083549076890138,0.9960188572578782,-0.0212044375124078,-2.137262764135633,-1.6360528847434552,-0.6549067929337641,-0.0212044375124078,0.6905636834994101,1.6019505326398344,2.532555934703501,-0.3003407025322141,-0.2963467085002608
15,1170,83,0.0,0.0013612231030698447,1.0286186093819982,-0.06503114264097935,-1.027403574124958,-0.7639220631531761,-0.3828855113106966,-0.06503114264097935,0.310956425302327,0.7354768018844662,1.032567587002315,-0.01888788284021008,-0.0304643053370645
16,1170,83,0.0,-0.015070001707148123,0.9960362716662773,-0.0049921090990383,-2.527619812426928,-1.5071297767451348,-0.5763816927275243,-0.0049921090990383,0.5666466414506166,1.5274243228077116,1.8978278944784877,0.20973333914139136,0.1576640570411457
17,1170,83,0.0,0.0035476381049157502,1.0243744352206747,0.1065131362577163,-1.2224613226755683,-0.9650683002810568,-0.21942145223059556,0.1065131362577163,0.4191053731704848,0.7393218109835639,0.8460606235879292,-0.03797924947951228,-0.0307224799478913
18,1170,83,0.0,-0.002069615060607478,0.9991677769556279,-0.14456185808458416,-2.2674153668589043,-1.4673199878506897,-0.6531632220142873,-0.14456185808458416,0.8257864109254572,1.5619053971656318,2.224394719171765,0.0288557303189548,-0.0630270584105934
19,1170,83,0.0,-0.008435684720770671,1.0290243441514224,0.0661008836780716,-1.3526857000647177,-0.6800232590358741,-0.1430240520966783,0.0661008836780716,0.31542194404269186,0.6482878908097898,0.8500566730648234,0.12000897467930202,0.0576938510841126
20,1170,83,0.0,-0.0041534908012439,1.0103817043606678,0.06606524014986964,-2.713459855470911,-1.3914562453596515,-0.4873329570110401,0.06606524014986964,0.5734667040402671,1.3197637013544128,2.0021827353391224,0.05854920768021374,0.0976879942733533
