event_order,gap,CL,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit
1,4.0,5.747706422018349,21.419202975482335,0.0,0,0,0
2,13.0,5.747706422018349,21.419202975482335,0.0,0,0,0
3,2.0,5.747706422018349,21.419202975482335,0.0,0,0,0
4,1.0,5.747706422018349,21.419202975482335,0.0,0,0,0
5,3.0,5.747706422018349,21.419202975482335,0.0,0,0,0
6,32.0,5.747706422018349,21.419202975482335,0.0,1,0,1
7,5.0,5.747706422018349,21.419202975482335,0.0,0,0,0
8,3.0,5.747706422018349,21.419202975482335,0.0,0,0,0
9,20.0,5.747706422018349,21.419202975482335,0.0,0,0,0
10,2.0,5.747706422018349,21.419202975482335,0.0,0,0,0
11,1.0,5.747706422018349,21.419202975482335,0.0,0,0,0
12,9.0,5.747706422018349,21.419202975482335,0.0,0,0,0
13,2.0,5.747706422018349,21.419202975482335,0.0,0,0,0
14,6.0,5.747706422018349,21.419202975482335,0.0,0,0,0
15,2.0,5.747706422018349,21.419202975482335,0.0,0,0,0
16,11.0,5.747706422018349,21.419202975482335,0.0,0,0,0
17,13.0,5.747706422018349,21.419202975482335,0.0,0,0,0
18,4.0,5.747706422018349,21.419202975482335,0.0,0,0,0
19,8.0,5.747706422018349,21.419202975482335,0.0,0,0,0
20,3.0,5.747706422018349,21.419202975482335,0.0,0,0,0
21,6.0,5.747706422018349,21.419202975482335,0.0,0,0,0
22,2.0,5.747706422018349,21.419202975482335,0.0,0,0,0
23,3.0,5.747706422018349,21.419202975482335,0.0,0,0,0
24,3.0,5.747706422018349,21.419202975482335,0.0,0,0,0
25,4.0,5.747706422018349,21.419202975482335,0.0,0,0,0
26,3.0,5.747706422018349,21.419202975482335,0.0,0,0,0
27,28.0,5.747706422018349,21.419202975482335,0.0,1,0,1
28,5.0,5.747706422018349,21.419202975482335,0.0,0,0,0
29,5.0,5.747706422018349,21.419202975482335,0.0,0,0,0
30,4.0,5.747706422018349,21.419202975482335,0.0,0,0,0
31,9.0,5.747706422018349,21.419202975482335,0.0,0,0,0
32,9.0,5.747706422018349,21.419202975482335,0.0,0,0,0
33,2.0,5.747706422018349,21.419202975482335,0.0,0,0,0
34,6.0,5.747706422018349,21.419202975482335,0.0,0,0,0
35,16.0,5.747706422018349,21.419202975482335,0.0,0,0,0
36,1.0,5.747706422018349,21.419202975482335,0.0,0,0,0
37,1.0,5.747706422018349,21.419202975482335,0.0,0,0,0
38,10.0,5.747706422018349,21.419202975482335,0.0,0,0,0
39,29.0,5.747706422018349,21.419202975482335,0.0,1,0,1
40,1.0,5.747706422018349,21.419202975482335,0.0,0,0,0
41,8.0,5.747706422018349,21.419202975482335,0.0,0,0,0
