time_index,value,CL,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit,MR,MR_CL,MR_UCL,MR_LCL,MR_beyond_UCL,EWMA,EWMA_CL,EWMA_UCL,EWMA_LCL,EWMA_beyond_any_limit,CUSUM_CPLUS,CUSUM_CMINUS,CUSUM_H_POS,CUSUM_H_NEG,CUSUM_alarm_any
0,2.6692,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,,13.953472668810285,45.5859952090032,0.0,0,11.232161504273504,13.37290188034188,30.15917282257051,-3.4133690618867494,0,0.0,0.0,5.0,-5.0,0
1,6.5297,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,3.8605,13.953472668810285,45.5859952090032,0.0,0,10.291669203418804,13.37290188034188,34.86981754560166,-8.124013784917901,0,0.0,0.0,5.0,-5.0,0
2,14.4984,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,7.9687,13.953472668810285,45.5859952090032,0.0,0,11.133015362735044,13.37290188034188,37.40483932496452,-10.659035564280762,0,0.0,0.0,5.0,-5.0,0
3,16.0527,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,1.5543000000000013,13.953472668810285,45.5859952090032,0.0,0,12.116952290188035,13.37290188034188,38.89545393230081,-12.149650171617052,0,0.0,0.0,5.0,-5.0,0
4,9.3331,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,6.719600000000002,13.953472668810285,45.5859952090032,0.0,0,11.56018183215043,13.37290188034188,39.80536897334475,-13.059565212660987,0,0.0,0.0,5.0,-5.0,0
5,12.3983,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,3.065200000000001,13.953472668810285,45.5859952090032,0.0,0,11.727805465720346,13.37290188034188,40.37162582767732,-13.625822066993562,0,0.0,0.0,5.0,-5.0,0
6,6.2512,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,6.147100000000001,13.953472668810285,45.5859952090032,0.0,0,10.632484372576277,13.37290188034188,40.727879358086966,-13.982075597403208,0,0.0,0.0,5.0,-5.0,0
7,9.0484,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,2.797200000000001,13.953472668810285,45.5859952090032,0.0,0,10.315667498061023,13.37290188034188,40.953466768374746,-14.207663007690988,0,0.0,0.0,5.0,-5.0,0
8,6.7595,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,2.288900000000001,13.953472668810285,45.5859952090032,0.0,0,9.604433998448819,13.37290188034188,41.09687941339842,-14.35107565271466,0,0.0,0.0,5.0,-5.0,0
9,8.6069,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,1.8473999999999995,13.953472668810285,45.5859952090032,0.0,0,9.404927198759054,13.37290188034188,41.18827546237562,-14.442471701691863,0,0.0,0.0,5.0,-5.0,0
10,4.9943,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,3.6125999999999996,13.953472668810285,45.5859952090032,0.0,0,8.522801759007244,13.37290188034188,41.24661166126437,-14.500807900580606,0,0.0,0.0,5.0,-5.0,0
11,14.3474,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,9.353100000000001,13.953472668810285,45.5859952090032,0.0,0,9.687721407205796,13.37290188034188,41.28388284115029,-14.538079080466526,0,0.0,0.0,5.0,-5.0,0
12,9.3163,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,5.0311,13.953472668810285,45.5859952090032,0.0,0,9.613437125764637,13.37290188034188,41.30771029905954,-14.561906538375785,0,0.0,0.0,5.0,-5.0,0
13,11.6758,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,2.3595000000000006,13.953472668810285,45.5859952090032,0.0,0,10.02590970061171,13.37290188034188,41.32294921189042,-14.577145451206656,0,0.0,0.0,5.0,-5.0,0
14,11.8418,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,0.1659999999999986,13.953472668810285,45.5859952090032,0.0,0,10.389087760489367,13.37290188034188,41.33269775729391,-14.586893996610149,0,0.0,0.0,5.0,-5.0,0
15,18.9251,13.37290188034188,97.30425659148506,-70.55845283080129,0,0,0,7.083300000000001,13.953472668810285,45.5859952090032,0.0,0,12.096290208391494,13.37290188034188,41.338935042977525,-14.593131282293763,0,0.0,0.0,5.0,-5.0,0
