time_index,feature_a,feature_b,pair_z_distance,pair_z_distance_CL,pair_z_distance_UCL,pair_z_distance_alarm,T2,T2_CL,T2_UCL,T2_LCL,T2_beyond_UCL
0,19.71,354.1463,0.2481564607196918,1.0181627649810092,3.9613107670661156,0,0.061596118139165074,1.9982905853020734,51.526125192899954,0.0,0
1,10.01,286.2967,0.8998202099230813,1.0181627649810092,3.9613107670661156,0,0.8279965623393617,1.9982905853020734,51.526125192899954,0.0,0
2,30.24,756.6004,2.166359492733474,1.0181627649810092,3.9613107670661156,0,4.869477595506019,1.9982905853020734,51.526125192899954,0.0,0
3,14.67,21.4402,1.378532516935499,1.0181627649810092,3.9613107670661156,0,1.9346977173765103,1.9982905853020734,51.526125192899954,0.0,0
4,23.08,0.0,1.5593253818233894,1.0181627649810092,3.9613107670661156,0,2.369034781163712,1.9982905853020734,51.526125192899954,0.0,0
5,9.73,102.1277,1.3492125168067473,1.0181627649810092,3.9613107670661156,0,1.8885770960583939,1.9982905853020734,51.526125192899954,0.0,0
6,16.12,383.0928,0.19613383294816436,1.0181627649810092,3.9613107670661156,0,0.037201476115971736,1.9982905853020734,51.526125192899954,0.0,0
7,16.33,879.5252,2.1100404104494515,1.0181627649810092,3.9613107670661156,0,4.4371837414811655,1.9982905853020734,51.526125192899954,0.0,0
8,19.44,0.0,1.4420446817273993,1.0181627649810092,3.9613107670661156,0,2.0596546621926026,1.9982905853020734,51.526125192899954,0.0,0
9,14.05,355.7932,0.39638372781891157,1.0181627649810092,3.9613107670661156,0,0.15724502201917778,1.9982905853020734,51.526125192899954,0.0,0
10,17.57,620.5217,1.065751052878415,1.0181627649810092,3.9613107670661156,0,1.1376791061373301,1.9982905853020734,51.526125192899954,0.0,0
11,9.78,570.8475,1.2367148651334323,1.0181627649810092,3.9613107670661156,0,1.4757355009556221,1.9982905853020734,51.526125192899954,0.0,0
12,13.93,368.8645,0.4137595765008672,1.0181627649810092,3.9613107670661156,0,0.1697685021070006,1.9982905853020734,51.526125192899954,0.0,0
13,16.04,511.4058,0.650212131261187,1.0181627649810092,3.9613107670661156,0,0.4155662770558415,1.9982905853020734,51.526125192899954,0.0,0
14,18.19,405.379,0.2154659334702452,1.0181627649810092,3.9613107670661156,0,0.0475925841783047,1.9982905853020734,51.526125192899954,0.0,0
15,14.85,331.6271,0.31946001296754106,1.0181627649810092,3.9613107670661156,0,0.10428576760674721,1.9982905853020734,51.526125192899954,0.0,0
16,21.43,0.0,1.4931038705313115,1.0181627649810092,3.9613107670661156,0,2.186162486491146,1.9982905853020734,51.526125192899954,0.0,0
17,7.46,601.3559,1.5142004182235067,1.0181627649810092,3.9613107670661156,0,2.2131551117292636,1.9982905853020734,51.526125192899954,0.0,0
18,13.67,670.6294,1.3410315163826458,1.0181627649810092,3.9613107670661156,0,1.7601343180142293,1.9982905853020734,51.526125192899954,0.0,0
19,12.24,,0.6040177455784964,1.0181627649810092,3.9613107670661156,0,0.3672161051662779,1.9982905853020734,51.526125192899954,0.0,0
20,16.78,175.1861,0.727262454463097,1.0181627649810092,3.9613107670661156,0,0.5341165752003201,1.9982905853020734,51.526125192899954,0.0,0
21,3.56,452.2655,1.6380233411506635,1.0181627649810092,3.9613107670661156,0,2.6414120357054305,1.9982905853020734,51.526125192899954,0.0,0
22,15.19,412.2392,0.3517573028146937,1.0181627649810092,3.9613107670661156,0,0.11943586295588483,1.9982905853020734,51.526125192899954,0.0,0
23,18.11,367.1859,0.08193296032582677,1.0181627649810092,3.9613107670661156,0,0.0069557819035274155,1.9982905853020734,51.526125192899954,0.0,0
24,12.86,237.3309,0.7115855418785958,1.0181627649810092,3.9613107670661156,0,0.525361787733075,1.9982905853020734,51.526125192899954,0.0,0
25,18.39,207.4074,0.6008700298960293,1.0181627649810092,3.9613107670661156,0,0.3572949671063381,1.9982905853020734,51.526125192899954,0.0,0
26,20.79,107.2644,1.0618733327182848,1.0181627649810092,3.9613107670661156,0,1.102146488652633,1.9982905853020734,51.526125192899954,0.0,0
27,16.56,0.0,1.4298464150735646,1.0181627649810092,3.9613107670661156,0,2.0586692727813505,1.9982905853020734,51.526125192899954,0.0,0
28,19.32,351.8717,0.20412435284027144,1.0181627649810092,3.9613107670661156,0,0.04153116777390544,1.9982905853020734,51.526125192899954,0.0,0
29,20.46,0.0,1.4640628135828404,1.0181627649810092,3.9613107670661156,0,2.111651998409386,1.9982905853020734,51.526125192899954,0.0,0
30,23.83,482.2633,0.8804801411091029,1.0181627649810092,3.9613107670661156,0,0.8029856512238898,1.9982905853020734,51.526125192899954,0.0,0
31,14.88,313.3797,0.34516630325157865,1.0181627649810092,3.9613107670661156,0,0.12298280246467481,1.9982905853020734,51.526125192899954,0.0,0
32,9.95,0.0,1.6665586326346251,1.0181627649810092,3.9613107670661156,0,2.870848042869985,1.9982905853020734,51.526125192899954,0.0,0
