time_index,value,CL,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit,MR,MR_CL,MR_UCL,MR_LCL,MR_beyond_UCL,EWMA,EWMA_CL,EWMA_UCL,EWMA_LCL,EWMA_beyond_any_limit,CUSUM_CPLUS,CUSUM_CMINUS,CUSUM_H_POS,CUSUM_H_NEG,CUSUM_alarm_any
0,246.8085,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,,337.13087380191695,1101.4065647108625,0.0,0,266.3494747945206,271.2347184931507,468.3121253231047,74.15731166319671,0,0.0,0.0,5.0,-5.0,0
1,0.0,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,246.8085,337.13087380191695,1101.4065647108625,0.0,0,213.07957983561647,271.2347184931507,523.6169425578092,18.85249442849215,0,0.0,-0.3257711206658481,5.0,-5.0,0
2,0.0,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,0.0,337.13087380191695,1101.4065647108625,0.0,0,170.4636638684932,271.2347184931507,553.3790928444148,-10.90965585811341,0,0.0,-0.6515422413316962,5.0,-5.0,0
3,0.0,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,0.0,337.13087380191695,1101.4065647108625,0.0,0,136.37093109479457,271.2347184931507,570.879493166065,-28.410056179763615,0,0.0,-0.9773133619975445,5.0,-5.0,0
4,853.3333,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,853.3333,337.13087380191695,1101.4065647108625,0.0,0,279.7634048758357,271.2347184931507,581.5622527462999,-39.09281575999847,0,1.2721927364584404,0.0,5.0,-5.0,0
5,0.0,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,853.3333,337.13087380191695,1101.4065647108625,0.0,0,223.81072390066856,271.2347184931507,588.2103303828171,-45.74089339651573,0,0.0,-0.3257711206658481,5.0,-5.0,0
6,842.8571,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,842.8571,337.13087380191695,1101.4065647108625,0.0,0,347.6199991205349,271.2347184931507,592.3928866032415,-49.92344961694022,0,1.2402980606500482,0.0,5.0,-5.0,0
7,0.0,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,842.8571,337.13087380191695,1101.4065647108625,0.0,0,278.0959992964279,271.2347184931507,595.0413713075579,-52.57193432125649,0,0.0,-0.3257711206658481,5.0,-5.0,0
8,0.0,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,0.0,337.13087380191695,1101.4065647108625,0.0,0,222.47679943714235,271.2347184931507,596.7250920270174,-54.255655040715965,0,0.0,-0.6515422413316962,5.0,-5.0,0
9,748.3871,271.2347184931507,1256.621752642921,-714.1523156566195,0,0,0,748.3871,337.13087380191695,1101.4065647108625,0.0,0,327.6588595497139,271.2347184931507,597.7981175005677,-55.32868051426635,0,0.9526851834981411,0.0,5.0,-5.0,0
