subgroup_id,n,event_n,event_rate,pbar,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit
0,25,1,0.04,0.03112529928172386,0.13531908704992485,0.0,0,0,0
1,25,1,0.04,0.03112529928172386,0.13531908704992485,0.0,0,0,0
2,25,2,0.08,0.03112529928172386,0.13531908704992485,0.0,0,0,0
3,25,2,0.08,0.03112529928172386,0.13531908704992485,0.0,0,0,0
4,25,0,0.0,0.03112529928172386,0.13531908704992485,0.0,0,0,0
5,25,0,0.0,0.03112529928172386,0.13531908704992485,0.0,0,0,0
6,25,1,0.04,0.03112529928172386,0.13531908704992485,0.0,0,0,0
7,25,0,0.0,0.03112529928172386,0.13531908704992485,0.0,0,0,0
8,25,0,0.0,0.03112529928172386,0.13531908704992485,0.0,0,0,0
9,25,1,0.04,0.03112529928172386,0.13531908704992485,0.0,0,0,0
10,25,0,0.0,0.03112529928172386,0.13531908704992485,0.0,0,0,0
11,25,4,0.16,0.03112529928172386,0.13531908704992485,0.0,1,0,1
12,14,0,0.0,0.03112529928172386,0.17036010487416875,0.0,0,0,0
