subgroup_id,n,event_n,event_rate,pbar,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit
0,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
1,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
2,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
3,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
4,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
5,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
6,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
7,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
8,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
9,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
10,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
11,25,0,0.0,0.0023942537909018356,0.03171775430307077,0.0,0,0,0
12,14,0,0.0,0.0023942537909018356,0.04157942961141124,0.0,0,0,0
