time_index,value,CL,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit,MR,MR_CL,MR_UCL,MR_LCL,MR_beyond_UCL,EWMA,EWMA_CL,EWMA_UCL,EWMA_LCL,EWMA_beyond_any_limit,CUSUM_CPLUS,CUSUM_CMINUS,CUSUM_H_POS,CUSUM_H_NEG,CUSUM_alarm_any
0,0.2061,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,,0.2231263829787234,0.7289538931914893,0.0,0,0.2655721161825726,0.28044014522821575,0.450118697941819,0.11076159251461248,0,0.0,0.0,5.0,-5.0,0
1,0.1026,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.10350000000000001,0.2231263829787234,0.7289538931914893,0.0,0,0.2329776929460581,0.28044014522821575,0.49773471591881585,0.06314557453761566,0,0.0,-0.1288601914057632,5.0,-5.0,0
2,0.2003,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.09770000000000001,0.2231263829787234,0.7289538931914893,0.0,0,0.2264421543568465,0.28044014522821575,0.5233591579464771,0.037521132509954314,0,0.0,0.0,5.0,-5.0,0
3,0.0949,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.10540000000000001,0.2231263829787234,0.7289538931914893,0.0,0,0.2001337234854772,0.28044014522821575,0.5384265502277672,0.022453740228664365,0,0.0,-0.15608814641901703,5.0,-5.0,0
4,0.1501,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.05520000000000001,0.2231263829787234,0.7289538931914893,0.0,0,0.19012697878838175,0.28044014522821575,0.5476241300707252,0.013256160385706317,0,0.0,-0.11698368027548733,5.0,-5.0,0
5,0.3527,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.2026,0.2231263829787234,0.7289538931914893,0.0,0,0.22264158303070541,0.28044014522821575,0.5533479530590459,0.007532337397385569,0,0.0,0.0,5.0,-5.0,0
6,0.4561,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.10339999999999999,0.2231263829787234,0.7289538931914893,0.0,0,0.26933326642456434,0.28044014522821575,0.5569490258432908,0.003931264613140695,0,0.12115047056634198,0.0,5.0,-5.0,0
7,0.0949,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.3612,0.2231263829787234,0.7289538931914893,0.0,0,0.23444661313965148,0.28044014522821575,0.5592293027088183,0.0016509877476131862,0,0.0,-0.15608814641901703,5.0,-5.0,0
8,0.1865,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.0916,0.2231263829787234,0.7289538931914893,0.0,0,0.2248572905117212,0.28044014522821575,0.5606789427231011,0.00020134773333041478,0,0.0,0.0,5.0,-5.0,0
9,0.0686,0.28044014522821575,1.1288329087962323,-0.5679526183398007,0,0,0,0.1179,0.2231263829787234,0.7289538931914893,0.0,0,0.19360583240937698,0.28044014522821575,0.5616027899174878,-0.0007224994610563473,0,0.0,-0.24908752523052013,5.0,-5.0,0
