event_order,gap,CL,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit
1,9.0,5.774193548387096,21.525512803377538,0.0,0,0,0
2,5.0,5.774193548387096,21.525512803377538,0.0,0,0,0
3,19.0,5.774193548387096,21.525512803377538,0.0,0,0,0
4,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
5,4.0,5.774193548387096,21.525512803377538,0.0,0,0,0
6,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
7,4.0,5.774193548387096,21.525512803377538,0.0,0,0,0
8,5.0,5.774193548387096,21.525512803377538,0.0,0,0,0
9,12.0,5.774193548387096,21.525512803377538,0.0,0,0,0
10,4.0,5.774193548387096,21.525512803377538,0.0,0,0,0
11,13.0,5.774193548387096,21.525512803377538,0.0,0,0,0
12,22.0,5.774193548387096,21.525512803377538,0.0,1,0,1
13,8.0,5.774193548387096,21.525512803377538,0.0,0,0,0
14,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
15,7.0,5.774193548387096,21.525512803377538,0.0,0,0,0
16,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
17,6.0,5.774193548387096,21.525512803377538,0.0,0,0,0
18,4.0,5.774193548387096,21.525512803377538,0.0,0,0,0
19,19.0,5.774193548387096,21.525512803377538,0.0,0,0,0
20,6.0,5.774193548387096,21.525512803377538,0.0,0,0,0
21,6.0,5.774193548387096,21.525512803377538,0.0,0,0,0
22,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
23,4.0,5.774193548387096,21.525512803377538,0.0,0,0,0
24,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
25,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
26,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
27,12.0,5.774193548387096,21.525512803377538,0.0,0,0,0
28,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
29,14.0,5.774193548387096,21.525512803377538,0.0,0,0,0
30,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
31,3.0,5.774193548387096,21.525512803377538,0.0,0,0,0
32,5.0,5.774193548387096,21.525512803377538,0.0,0,0,0
33,3.0,5.774193548387096,21.525512803377538,0.0,0,0,0
34,29.0,5.774193548387096,21.525512803377538,0.0,1,0,1
35,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
36,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
37,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
38,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
39,6.0,5.774193548387096,21.525512803377538,0.0,0,0,0
40,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
41,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
42,2.0,5.774193548387096,21.525512803377538,0.0,0,0,0
43,7.0,5.774193548387096,21.525512803377538,0.0,0,0,0
44,3.0,5.774193548387096,21.525512803377538,0.0,0,0,0
45,3.0,5.774193548387096,21.525512803377538,0.0,0,0,0
46,1.0,5.774193548387096,21.525512803377538,0.0,0,0,0
47,5.0,5.774193548387096,21.525512803377538,0.0,0,0,0
48,3.0,5.774193548387096,21.525512803377538,0.0,0,0,0
49,7.0,5.774193548387096,21.525512803377538,0.0,0,0,0
50,10.0,5.774193548387096,21.525512803377538,0.0,0,0,0
51,3.0,5.774193548387096,21.525512803377538,0.0,0,0,0
52,4.0,5.774193548387096,21.525512803377538,0.0,0,0,0
53,3.0,5.774193548387096,21.525512803377538,0.0,0,0,0
54,3.0,5.774193548387096,21.525512803377538,0.0,0,0,0
55,6.0,5.774193548387096,21.525512803377538,0.0,0,0,0
