,dominant_ratio
342,0.994413407821229
347,0.994413407821229
74,0.994413407821229
206,0.994413407821229
209,0.994413407821229
478,0.994413407821229
521,0.985634477254589
249,0.9848363926576217
387,0.9848363926576217
114,0.9848363926576217
NA_157,0.9122106943335994
NA_85,0.8627294493216281
NA_109,0.6536312849162011
NA_578,0.6057462090981645
500,0.5802075019952115
NA_112,0.5522745411013568
499,0.5450917797286512
511,0.5227454110135674
544,0.518754988028731
NA_72,0.5115722266560255
543,0.4860335195530726
542,0.4788507581803671
545,0.47326416600159615
419,0.44772545889864324
95,0.4301675977653631
418,0.3272146847565842
389,0.3272146847565842
486,0.3128491620111732
94,0.31045490822027133
482,0.31045490822027133
101,0.28890662410215484
562,0.2529928172386273
563,0.2529928172386273
564,0.2529928172386273
566,0.2529928172386273
565,0.2529928172386273
568,0.2529928172386273
567,0.2529928172386273
569,0.2529928172386273
487,0.21308858739026337
100,0.18435754189944134
554,0.1739824421388667
557,0.1739824421388667
556,0.1739824421388667
549,0.1739824421388667
550,0.1739824421388667
547,0.1739824421388667
548,0.1739824421388667
552,0.1739824421388667
546,0.1739824421388667
555,0.1739824421388667
553,0.1739824421388667
551,0.1739824421388667
278,0.15403032721468476
468,0.1516360734237829
488,0.14604948124501196
484,0.14046288906624102
357,0.13966480446927373
489,0.12689545091779728
485,0.11811652035115722
433,0.11652035115722266
129,0.11252992817238627
360,0.11173184357541899
251,0.1077414205905826
377,0.10295291300877893
376,0.09736632083000799
167,0.09577015163607343
483,0.08858739026336791
116,0.08220271348762968
124,0.07980845969672785
104,0.07501995211492418
143,0.06225059856344772
166,0.060654429369513166
121,0.060654429369513166
106,0.060654429369513166
584,0.05905826017557861
105,0.05666400638467677
123,0.055865921787709494
368,0.05187549880287311
219,0.05107741420590583
131,0.047885075818036714
367,0.047885075818036714
366,0.04628890662410216
99,0.04549082202713488
155,0.04549082202713488
392,0.04229848363926576
102,0.03990422984836393
107,0.03990422984836393
222,0.03990422984836393
108,0.03990422984836393
96,0.03990422984836393
91,0.03910614525139665
98,0.03910614525139665
365,0.03910614525139665
239,0.03750997605746209
7,0.035913806863527534
432,0.035115722266560255
588,0.034317637669592976
238,0.034317637669592976
288,0.034317637669592976
125,0.0335195530726257
53,0.03272146847565842
362,0.03112529928172386
90,0.03112529928172386
497,0.03112529928172386
496,0.03112529928172386
89,0.03112529928172386
225,0.03112529928172386
224,0.03112529928172386
363,0.03112529928172386
55,0.028731045490822026
93,0.027932960893854747
282,0.025538707102952914
57,0.025538707102952914
92,0.025538707102952914
135,0.024740622505985636
87,0.024740622505985636
56,0.024740622505985636
103,0.023942537909018357
587,0.023942537909018357
54,0.0223463687150838
164,0.02154828411811652
195,0.020750199521149242
119,0.020750199521149242
386,0.020750199521149242
267,0.019952114924181964
582,0.019154030327214685
391,0.019154030327214685
84,0.019154030327214685
405,0.018355945730247406
153,0.018355945730247406
359,0.018355945730247406
29,0.018355945730247406
138,0.017557861133280128
281,0.017557861133280128
586,0.017557861133280128
583,0.01675977653631285
41,0.01596169193934557
331,0.01596169193934557
40,0.01596169193934557
558,0.01596169193934557
254,0.01596169193934557
589,0.01596169193934557
210,0.014365522745411013
228,0.014365522745411013
118,0.014365522745411013
253,0.014365522745411013
214,0.014365522745411013
213,0.014365522745411013
212,0.014365522745411013
128,0.014365522745411013
163,0.014365522745411013
348,0.014365522745411013
355,0.014365522745411013
349,0.014365522745411013
350,0.014365522745411013
351,0.014365522745411013
75,0.014365522745411013
290,0.014365522745411013
291,0.014365522745411013
79,0.014365522745411013
211,0.014365522745411013
216,0.014365522745411013
217,0.014365522745411013
215,0.014365522745411013
352,0.014365522745411013
353,0.014365522745411013
354,0.014365522745411013
306,0.014365522745411013
78,0.014365522745411013
77,0.014365522745411013
76,0.014365522745411013
525,0.014365522745411013
80,0.014365522745411013
81,0.014365522745411013
82,0.014365522745411013
560,0.013567438148443736
147,0.013567438148443736
126,0.013567438148443736
311,0.013567438148443736
280,0.013567438148443736
168,0.013567438148443736
17,0.012769353551476457
572,0.012769353551476457
177,0.012769353551476457
127,0.012769353551476457
176,0.011971268954509178
165,0.011971268954509178
122,0.011971268954509178
130,0.011971268954509178
561,0.011971268954509178
221,0.011971268954509178
173,0.011971268954509178
559,0.011971268954509178
19,0.011971268954509178
575,0.011971268954509178
227,0.011971268954509178
142,0.011971268954509178
573,0.0111731843575419
574,0.0111731843575419
132,0.0111731843575419
577,0.0111731843575419
571,0.0111731843575419
570,0.0111731843575419
307,0.0111731843575419
576,0.0111731843575419
86,0.010375099760574621
58,0.010375099760574621
444,0.010375099760574621
174,0.010375099760574621
447,0.010375099760574621
312,0.010375099760574621
305,0.010375099760574621
308,0.010375099760574621
171,0.010375099760574621
172,0.010375099760574621
275,0.010375099760574621
170,0.009577015163607342
