feature,missing rate,n
292,0.9122106943335994,1
158,0.9122106943335994,2
157,0.9122106943335994,3
293,0.9122106943335994,4
492,0.8627294493216281,5
220,0.8627294493216281,6
85,0.8627294493216281,7
358,0.8627294493216281,8
111,0.6536312849162011,9
245,0.6536312849162011,10
244,0.6536312849162011,11
109,0.6536312849162011,12
110,0.6536312849162011,13
384,0.6536312849162011,14
382,0.6536312849162011,15
383,0.6536312849162011,16
246,0.6536312849162011,17
518,0.6536312849162011,18
517,0.6536312849162011,19
516,0.6536312849162011,20
581,0.6057462090981645,21
578,0.6057462090981645,22
579,0.6057462090981645,23
580,0.6057462090981645,24
72,0.5115722266560255,25
73,0.5115722266560255,26
346,0.5115722266560255,27
345,0.5115722266560255,28
247,0.44772545889864324,29
112,0.44772545889864324,30
385,0.44772545889864324,31
519,0.44772545889864324,32
547,0.1739824421388667,33
552,0.1739824421388667,34
549,0.1739824421388667,35
548,0.1739824421388667,36
554,0.1739824421388667,37
556,0.1739824421388667,38
555,0.1739824421388667,39
557,0.1739824421388667,40
546,0.1739824421388667,41
550,0.1739824421388667,42
551,0.1739824421388667,43
553,0.1739824421388667,44
567,0.17318435754189945,45
566,0.17318435754189945,46
565,0.17318435754189945,47
564,0.17318435754189945,48
568,0.17318435754189945,49
569,0.17318435754189945,50
563,0.17318435754189945,51
562,0.17318435754189945,52
496,0.03112529928172386,53
225,0.03112529928172386,54
224,0.03112529928172386,55
362,0.03112529928172386,56
90,0.03112529928172386,57
497,0.03112529928172386,58
363,0.03112529928172386,59
89,0.03112529928172386,60
178,0.01596169193934557,61
41,0.01596169193934557,62
40,0.01596169193934557,63
525,0.014365522745411013,64
489,0.014365522745411013,65
488,0.014365522745411013,66
485,0.014365522745411013,67
487,0.014365522745411013,68
486,0.014365522745411013,69
215,0.014365522745411013,70
211,0.014365522745411013,71
352,0.014365522745411013,72
351,0.014365522745411013,73
353,0.014365522745411013,74
348,0.014365522745411013,75
355,0.014365522745411013,76
350,0.014365522745411013,77
213,0.014365522745411013,78
214,0.014365522745411013,79
118,0.014365522745411013,80
253,0.014365522745411013,81
217,0.014365522745411013,82
212,0.014365522745411013,83
216,0.014365522745411013,84
210,0.014365522745411013,85
349,0.014365522745411013,86
354,0.014365522745411013,87
482,0.014365522745411013,88
391,0.014365522745411013,89
82,0.014365522745411013,90
81,0.014365522745411013,91
80,0.014365522745411013,92
484,0.014365522745411013,93
79,0.014365522745411013,94
483,0.014365522745411013,95
76,0.014365522745411013,96
78,0.014365522745411013,97
75,0.014365522745411013,98
77,0.014365522745411013,99
84,0.007182761372705506,100
491,0.007182761372705506,101
357,0.007182761372705506,102
219,0.007182761372705506,103
122,0.006384676775738229,104
123,0.006384676775738229,105
126,0.006384676775738229,106
130,0.006384676775738229,107
125,0.006384676775738229,108
127,0.006384676775738229,109
129,0.006384676775738229,110
128,0.006384676775738229,111
121,0.006384676775738229,112
256,0.006384676775738229,113
131,0.006384676775738229,114
124,0.006384676775738229,115
539,0.00558659217877095,116
541,0.00558659217877095,117
540,0.00558659217877095,118
407,0.00558659217877095,119
411,0.00558659217877095,120
412,0.00558659217877095,121
406,0.00558659217877095,122
415,0.00558659217877095,123
416,0.00558659217877095,124
468,0.00558659217877095,125
472,0.00558659217877095,126
473,0.00558659217877095,127
