feature,resolved_train_feature,resolved_monitor_feature,n_baseline,n_monitor,center_mean,sigma_train,normal_p01,normal_p99,n_beyond_3sigma,n_ewma_alarm,n_cusum_alarm,list_category,list_subtype,export_rank,n_models,mean_tp_missing_rate,mean_fp_missing_rate,mean_tn_missing_rate,mean_missing_tp_tn_gap,mean_missing_tp_fp_gap,overall_missing_rate,dominant_missing_signal_type,has_missing_signal
552.0,552,552,964,272,0.28044014522821575,0.2827975878560055,0.035882000000000004,1.3992090000000001,4,2,3,auxiliary_diagnostic,missingness,1,5,0.3761904761904762,0.0505806197372462,0.1366976147216,0.2394928614688761,0.3256098564532299,0.1337579617834395,tp_associated_missingness,1.0
563.0,563,563,970,258,0.6788681443298968,0.12263853919478386,0.52856,0.9949979999999997,1,2,1,auxiliary_diagnostic,missingness,2,7,0.3653061224489796,0.3184348891840512,0.1397584898176297,0.2255476326313498,0.0468712332649283,0.1783439490445859,tp_associated_missingness,1.0
551.0,551,551,964,272,1.2244605809128633,1.3156954971525485,0.3063,2.41,0,0,0,auxiliary_diagnostic,missingness,3,7,0.3329931972789115,0.036129014098033,0.1346477870557077,0.1983454102232038,0.2968641831808785,0.1337579617834395,tp_associated_missingness,1.0
547.0,547,547,964,272,403.37770954356847,5.159970539198037,389.41012,413.75910000000005,2,0,0,auxiliary_diagnostic,missingness,4,2,0.225,0.0,0.1295232178909768,0.0954767821090231,0.225,0.1337579617834395,tp_associated_missingness,1.0
553.0,553,553,964,272,7.7079732365145235,2.1759517155823316,3.867582,11.237771,0,0,0,auxiliary_diagnostic,missingness,5,2,0.225,0.0,0.1295232178909768,0.0954767821090231,0.225,0.1337579617834395,tp_associated_missingness,1.0
566.0,566,566,970,258,2.6240053608247424,1.054336440328056,0.836973,5.768975,0,0,0,auxiliary_diagnostic,missingness,6,2,0.225,0.3397129186602871,0.1582543873272247,0.0667456126727752,-0.114712918660287,0.1783439490445859,fp_risk_missingness,0.0
103.0,103,103,1168,314,-0.009931934931506847,0.0029654767108482525,-0.015332,-0.0026020000000000435,2,2,4,auxiliary_diagnostic,missingness,7,7,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0
115.0,115,115,1170,314,745.8364171794873,48.75502412208056,607.281661,858.3463319999994,2,2,2,auxiliary_diagnostic,missingness,8,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0
116.0,116,116,1170,314,0.9870671794871795,0.00980982728982567,0.959207,0.9918,0,2,3,auxiliary_diagnostic,missingness,9,2,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0
14.0,14,14,1167,314,9.009556041131106,2.757414778793942,3.040294,15.95407,2,0,0,auxiliary_diagnostic,missingness,10,7,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0
