feature,resolved_train_feature,resolved_monitor_feature,baseline_missing_rate,monitor_missing_rate,n_monitor_rows,n_pchart_alarm,n_gchart_alarm,list_category,list_subtype,export_rank,n_models,mean_tp_missing_rate,mean_fp_missing_rate,mean_tn_missing_rate,mean_missing_tp_tn_gap,mean_missing_tp_fp_gap,overall_missing_rate,dominant_missing_signal_type,has_missing_signal
552.0,552,552,0.1739824421388667,0.1337579617834395,314,0,3,auxiliary_diagnostic,missingness,1,5,0.3761904761904762,0.0505806197372462,0.1366976147216,0.2394928614688761,0.3256098564532299,0.1337579617834395,tp_associated_missingness,1.0
563.0,563,563,0.17318435754189945,0.17834394904458598,314,0,2,auxiliary_diagnostic,missingness,2,7,0.3653061224489796,0.3184348891840512,0.1397584898176297,0.2255476326313498,0.0468712332649283,0.1783439490445859,tp_associated_missingness,1.0
551.0,551,551,0.1739824421388667,0.1337579617834395,314,0,3,auxiliary_diagnostic,missingness,3,7,0.3329931972789115,0.036129014098033,0.1346477870557077,0.1983454102232038,0.2968641831808785,0.1337579617834395,tp_associated_missingness,1.0
547.0,547,547,0.1739824421388667,0.1337579617834395,314,0,3,auxiliary_diagnostic,missingness,4,2,0.225,0.0,0.1295232178909768,0.0954767821090231,0.225,0.1337579617834395,tp_associated_missingness,1.0
553.0,553,553,0.1739824421388667,0.1337579617834395,314,0,3,auxiliary_diagnostic,missingness,5,2,0.225,0.0,0.1295232178909768,0.0954767821090231,0.225,0.1337579617834395,tp_associated_missingness,1.0
566.0,566,566,0.17318435754189945,0.17834394904458598,314,0,2,auxiliary_diagnostic,missingness,6,2,0.225,0.3397129186602871,0.1582543873272247,0.0667456126727752,-0.114712918660287,0.1783439490445859,fp_risk_missingness,0.0
103.0,103,103,0.0015961691939345571,0.0,314,0,0,auxiliary_diagnostic,missingness,7,7,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0
115.0,115,115,0.0,0.0,314,0,0,auxiliary_diagnostic,missingness,8,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0
116.0,116,116,0.0,0.0,314,0,0,auxiliary_diagnostic,missingness,9,2,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0
14.0,14,14,0.0023942537909018356,0.0,314,0,0,auxiliary_diagnostic,missingness,10,7,0.0,0.0,0.0,0.0,0.0,0.0,weak,0.0
