time_index,value,CL,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit,MR,MR_CL,MR_UCL,MR_LCL,MR_beyond_UCL,EWMA,EWMA_CL,EWMA_UCL,EWMA_LCL,EWMA_beyond_any_limit,CUSUM_CPLUS,CUSUM_CMINUS,CUSUM_H_POS,CUSUM_H_NEG,CUSUM_alarm_any
0,-8.64,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,,8.28822460063898,27.077629770287547,0.0,0,0.4493778159931212,2.721722269991402,8.5223263413035,-3.0788818013206964,0,0.0,-0.6752281793735364,5.0,-5.0,0
1,6.1855,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,14.825500000000002,8.28822460063898,27.077629770287547,0.0,0,1.5966022527944972,2.721722269991402,10.150119974145435,-4.706675434162632,0,0.0,0.0,5.0,-5.0,0
2,-1.31,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,7.4955,8.28822460063898,27.077629770287547,0.0,0,1.0152818022355978,2.721722269991402,11.026113082134955,-5.5826685421521525,0,0.0,0.0,5.0,-5.0,0
3,-3.5573,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,2.2473,8.28822460063898,27.077629770287547,0.0,0,0.10076544178847824,2.721722269991402,11.54120456313331,-6.0977600231505065,0,0.0,-0.14948638377634527,5.0,-5.0,0
4,15.1073,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,18.6646,8.28822460063898,27.077629770287547,0.0,0,3.102072353430783,2.721722269991402,11.855631567784458,-6.4121870278016555,0,0.781133231409153,0.0,5.0,-5.0,0
5,14.7073,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,0.40000000000000036,8.28822460063898,27.077629770287547,0.0,0,5.423117882744627,2.721722269991402,12.051305271965347,-6.607860731982544,0,1.5208914616892057,0.0,5.0,-5.0,0
6,1.2209,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,13.4864,8.28822460063898,27.077629770287547,0.0,0,4.582674306195702,2.721722269991402,12.174410974597306,-6.730966434614503,0,0.8656501539005241,0.0,5.0,-5.0,0
7,-1.3127,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,2.5336,8.28822460063898,27.077629770287547,0.0,0,3.4035994449565616,2.721722269991402,12.252364157591643,-6.80891961760884,0,0.0,0.0,5.0,-5.0,0
8,5.5191,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,6.831799999999999,8.28822460063898,27.077629770287547,0.0,0,3.8266995559652495,2.721722269991402,12.301921321029846,-6.8584767810470435,0,0.0,0.0,5.0,-5.0,0
9,2.1109,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,3.4082,8.28822460063898,27.077629770287547,0.0,0,3.4835396447721996,2.721722269991402,12.33350381458208,-6.8900592745992775,0,0.0,0.0,5.0,-5.0,0
10,2.9864,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,0.8755000000000002,8.28822460063898,27.077629770287547,0.0,0,3.38411171581776,2.721722269991402,12.353662263944864,-6.910217723962061,0,0.0,0.0,5.0,-5.0,0
11,4.5382,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,1.5517999999999996,8.28822460063898,27.077629770287547,0.0,0,3.614929372654208,2.721722269991402,12.366541560277739,-6.923097020294936,0,0.0,0.0,5.0,-5.0,0
12,0.2336,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,4.3046,8.28822460063898,27.077629770287547,0.0,0,2.9386634981233666,2.721722269991402,12.374775291869058,-6.9313307518862555,0,0.0,0.0,5.0,-5.0,0
13,24.6118,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,24.3782,8.28822460063898,27.077629770287547,0.0,0,7.273290798498694,2.721722269991402,12.38004119637598,-6.936596656393178,0,1.7642549769879792,0.0,5.0,-5.0,0
14,2.0009,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,22.610899999999997,8.28822460063898,27.077629770287547,0.0,0,6.218812638798956,2.721722269991402,12.383409869046135,-6.939965329063332,0,1.1896949214010426,0.0,5.0,-5.0,0
15,3.5436,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,1.5427,8.28822460063898,27.077629770287547,0.0,0,5.6837701110391645,2.721722269991402,12.385565203298443,-6.94212066331564,0,0.7747079014187623,0.0,5.0,-5.0,0
16,-5.6945,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,9.2381,8.28822460063898,27.077629770287547,0.0,0,3.4081160888313318,2.721722269991402,12.386944364981495,-6.943499824998693,0,0.0,-0.3705530148091263,5.0,-5.0,0
17,-3.8991,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,1.7953999999999999,8.28822460063898,27.077629770287547,0.0,0,1.9466728710650658,2.721722269991402,12.387826925189001,-6.9443823852061985,0,0.0,-0.5553943370502874,5.0,-5.0,0
18,0.34,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,4.2391,8.28822460063898,27.077629770287547,0.0,0,1.6253382968520529,2.721722269991402,12.388391721434926,-6.9449471814521235,0,0.0,-0.30175374107552944,5.0,-5.0,0
19,3.2882,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,2.9482,8.28822460063898,27.077629770287547,0.0,0,1.9579106374816424,2.721722269991402,12.388753173714852,-6.945308633732049,0,0.0,0.0,5.0,-5.0,0
20,0.4982,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,2.79,8.28822460063898,27.077629770287547,0.0,0,1.6659685099853139,2.721722269991402,12.388984496081621,-6.945539956098818,0,0.0,0.0,5.0,-5.0,0
21,1.63,2.721722269991402,31.7247426265519,-26.281298086569095,0,0,0,1.1318,8.28822460063898,27.077629770287547,0.0,0,1.6587748079882512,2.721722269991402,12.389132539491534,-6.945687999508731,0,0.0,0.0,5.0,-5.0,0
