subgroup_id,n,event_n,event_rate,pbar,UCL,LCL,beyond_UCL,below_LCL,beyond_any_limit
0,25,3,0.12,0.17318435754189945,0.4002283024162159,0.0,0,0,0
1,25,6,0.24,0.17318435754189945,0.4002283024162159,0.0,0,0,0
2,25,2,0.08,0.17318435754189945,0.4002283024162159,0.0,0,0,0
3,25,2,0.08,0.17318435754189945,0.4002283024162159,0.0,0,0,0
4,25,5,0.2,0.17318435754189945,0.4002283024162159,0.0,0,0,0
5,25,2,0.08,0.17318435754189945,0.4002283024162159,0.0,0,0,0
6,25,7,0.28,0.17318435754189945,0.4002283024162159,0.0,0,0,0
7,25,4,0.16,0.17318435754189945,0.4002283024162159,0.0,0,0,0
8,25,3,0.12,0.17318435754189945,0.4002283024162159,0.0,0,0,0
9,25,5,0.2,0.17318435754189945,0.4002283024162159,0.0,0,0,0
10,25,9,0.36,0.17318435754189945,0.4002283024162159,0.0,0,0,0
11,25,4,0.16,0.17318435754189945,0.4002283024162159,0.0,0,0,0
12,14,4,0.2857142857142857,0.17318435754189945,0.47658459092092864,0.0,0,0,0
